filename, freshripe, freshunripe, overripe, ripe, rotten, unripe
musa-acuminata-banana-a63f4701-394a-11ec-88a5-d8c4975e38aa_jpg.rf.95fc322b25f7c9677d44119b0c4a4037.jpg, 0, 0, 1, 0, 1, 0
musa-acuminata-banana-ac7178e9-394a-11ec-b2dc-d8c4975e38aa_jpg.rf.95f35b00d00bee4ceb962f53155917aa.jpg, 0, 0, 1, 1, 1, 0
musa-acuminata-freshunripe-708c75f9-1d0a-11ec-bdce-d8c4975e38aa_jpg.rf.971a34f75aefce0f5fb0092d0a159b23.jpg, 0, 1, 0, 0, 0, 0
musa-acuminata-banana-b2ecfef7-394a-11ec-975c-d8c4975e38aa_jpg.rf.962fe17ec6aa49453cb185f7b49be27d.jpg, 1, 0, 0, 0, 0, 0
musa-acuminata-overripe-7d83ac7b-2653-11ec-b49d-d8c4975e38aa_jpg.rf.972d92fc8b9438ab76b0bf284b823725.jpg, 0, 0, 1, 0, 0, 0
musa-acuminata-unripe-8d7da8ae-1d0a-11ec-9375-d8c4975e38aa-1-_jpg.rf.9600096c3528f284b8c1a339898da9c8.jpg, 0, 0, 0, 0, 0, 1
musa-acuminata-banana-c33049ab-394a-11ec-b485-d8c4975e38aa_jpg.rf.972f8d4158f64059850fc98a46a587d7.jpg, 0, 0, 0, 1, 0, 0
musa-acuminata-ripe-72abfb00-2653-11ec-bca7-d8c4975e38aa_jpg.rf.95d210917a81ff2d1711dc8715652532.jpg, 0, 0, 0, 0, 1, 0
musa-acuminata-banana-ce7153eb-4037-11ec-ac3d-94b86d66fd1d_jpg.rf.97073d5fe056c7e837c1d91b27c686ff.jpg, 0, 0, 0, 1, 0, 0
musa-acuminata-ripe-6c789f5a-2653-11ec-b86b-d8c4975e38aa_jpg.rf.973f277a75e9de01d1275030d0e42c38.jpg, 0, 0, 0, 1, 0, 0
musa-acuminata-banana-ed4ae9c5-394a-11ec-b307-d8c4975e38aa_jpg.rf.966c6ba0c4c3c245ec056a357572a8b6.jpg, 1, 0, 0, 1, 0, 0
musa-acuminata-banana-c5cb5f36-4037-11ec-b37f-94b86d66fd1d_jpg.rf.95f4817d6fccc42db678f84c8a004834.jpg, 1, 0, 0, 0, 0, 0
musa-acuminata-banana-b2a9e6f4-394a-11ec-bb1f-d8c4975e38aa_jpg.rf.9637b1507ddb5d921085ea95d17f4515.jpg, 0, 0, 0, 1, 0, 0
musa-acuminata-banana-f11ee55c-394a-11ec-b5df-d8c4975e38aa_jpg.rf.967fdd8ff043f00483341649697d3433.jpg, 0, 0, 0, 1, 0, 0
musa-acuminata-freshunripe-68d6cd29-1d0a-11ec-bb51-d8c4975e38aa_jpg.rf.96cf55b031dbaeecc09749d17457729d.jpg, 0, 1, 0, 0, 0, 0
musa-acuminata-freshripe-79da0614-1d0a-11ec-af9a-d8c4975e38aa_jpg.rf.960596a6fd1e964d566c8a009b8ece4a.jpg, 1, 0, 0, 0, 0, 0
musa-acuminata-unripe-5b120238-2653-11ec-9dc3-d8c4975e38aa---Copy_jpg.rf.96f8125955520f86149c1e46fe73315b.jpg, 0, 0, 0, 0, 1, 1
musa-acuminata-freshripe-470b457f-2653-11ec-ac69-d8c4975e38aa_jpg.rf.9659eab4810d2b79299ddce79b65915e.jpg, 1, 0, 0, 0, 0, 0
musa-acuminata-overripe-a0fa2a50-1d0a-11ec-b77d-d8c4975e38aa_jpg.rf.973c6ae62010c33520f7eeafb8e6a667.jpg, 0, 0, 1, 0, 0, 0
musa-acuminata-mold-e6776fb5-1d0a-11ec-8c3a-d8c4975e38aa_jpg.rf.96b8c254cf6c2afae41c690c34d3039f.jpg, 0, 0, 1, 0, 0, 0
musa-acuminata-freshripe-79271554-1d0a-11ec-ba3b-d8c4975e38aa_jpg.rf.973ab815ef289d85f6cf2d32ff4ef50f.jpg, 1, 0, 0, 0, 0, 0
musa-acuminata-rotten-aaa93e68-1d0a-11ec-9d30-d8c4975e38aa_jpg.rf.9680fe672956ad30440d5360f6ef7ce0.jpg, 0, 0, 0, 0, 1, 0
musa-acuminata-mold-e289a3fb-1d0a-11ec-8747-d8c4975e38aa_jpg.rf.96fa25b9b5e43018d9682d8009748bb6.jpg, 0, 0, 1, 0, 1, 0
musa-acuminata-mold-e33ec803-1d0a-11ec-be87-d8c4975e38aa_jpg.rf.9740326db5786fa2ca48084c107770e9.jpg, 0, 0, 1, 0, 1, 0
musa-acuminata-unripe-8654ce5d-1d0a-11ec-8c46-d8c4975e38aa-1-_jpg.rf.96cdd532307c8cb69472b4dbd2519f49.jpg, 0, 0, 0, 0, 1, 1
musa-acuminata-overripe-9c5bfca4-1d0a-11ec-a50e-d8c4975e38aa_jpg.rf.979ba533a4f0fb87eff7fcd302a8a632.jpg, 0, 0, 1, 0, 0, 0
musa-acuminata-freshunripe-27934f1e-2653-11ec-97ba-d8c4975e38aa_jpg.rf.97869faedb9cfee06c02643e1ed3d1b3.jpg, 0, 1, 0, 0, 0, 0
musa-acuminata-overripe-806a9443-2653-11ec-97ef-d8c4975e38aa_jpg.rf.97a642d44b6e5944d37188db805a7501.jpg, 0, 0, 1, 0, 0, 0
musa-acuminata-ripe-73553404-2653-11ec-9265-d8c4975e38aa_jpg.rf.979469152f80f7cc2972716cd2801a78.jpg, 0, 0, 0, 0, 1, 0
musa-acuminata-freshunripe-6b72dfe8-1d0a-11ec-8418-d8c4975e38aa_jpg.rf.97bdee33543fe20bd075b478025cf368.jpg, 0, 1, 0, 0, 0, 0
musa-acuminata-banana-974cf28f-394a-11ec-b8e4-d8c4975e38aa_jpg.rf.9767b68ca46d91944ec7cef134d9ef08.jpg, 0, 0, 1, 0, 1, 0
musa-acuminata-rotten-a846c669-1d0a-11ec-96ca-d8c4975e38aa_jpg.rf.977301ca6894a98cc1c50b40dfbf538e.jpg, 0, 0, 0, 0, 1, 0
musa-acuminata-ripe-993401a1-1d0a-11ec-b770-d8c4975e38aa_jpg.rf.97b7f9790d6c5650125d360d9bc08c70.jpg, 0, 0, 0, 1, 1, 0
musa-acuminata-banana-dd79bfff-394a-11ec-bf3e-d8c4975e38aa_jpg.rf.97cbb953d6efa7d4368eaefb7b0fbee9.jpg, 0, 0, 0, 1, 0, 0
musa-acuminata-freshripe-4facb3eb-2653-11ec-a069-d8c4975e38aa_jpg.rf.978ebf0b92dd2106e610cda81d893d02.jpg, 1, 0, 0, 0, 0, 0
musa-acuminata-ripe-951b4cbd-1d0a-11ec-afc2-d8c4975e38aa_jpg.rf.97a90f31471e642466d50b6ede192ed8.jpg, 0, 0, 0, 1, 0, 0
musa-acuminata-mold-e5bfebf8-1d0a-11ec-9b9c-d8c4975e38aa_jpg.rf.9804cd6bb86d711fce1d4f6e73be2d9e.jpg, 0, 0, 1, 0, 0, 0
musa-acuminata-freshripe-78671023-1d0a-11ec-9b32-d8c4975e38aa_jpg.rf.9812e1456c347f4fb81b0702b73c8afb.jpg, 1, 0, 0, 0, 0, 0
